Company,SFR,Payload (kg),Launch Cost ($M),Price ($/kg),Funding ($M),Launch Class,Orbit Altitude,Tech Type,Country,HQ Location,Description,Funding_Type,Funding_num,Country_Grouped,LC_Heavy,LC_Medium,LC_Small,LC_Tourism,OA_LEO,OA_Lunar,OA_Suborbital,TT_Balloon,TT_Other,TT_Plane,TT_Rocket,TT_Spaceplane,Funding_Missing
Space Transportation (Lingkong Tianxing),4,1000,0.0,0,18.00,Small,LEO,"Rocket, Spaceplane",China,Beijing,Launcher manufacturer aimed at developing reusable vehicles for small payloads,Private (reported),18.0,China,0,0,1,0,1,0,0,0,0,0,1,1,0
Space Railway Corporation,0,0,0.0,0,,,LEO,Other,United States,"Fort Worth, TX","Developing a proposed ""railway"" to space that is safer, cheaper, and greener than rockets",Unknown,13.844999999999999,United States,0,0,0,0,1,0,0,0,1,0,0,0,1
Hybrid Propulsion,1,250,4.0,16000,,Small,LEO,Rocket,France,Talence,Developing a solution for quick missions to LEO,Unknown,13.844999999999999,France,0,0,1,0,1,0,0,0,0,0,1,0,1
LinkSpace,5,200,4.5,22500,,Small,LEO,Rocket,China,Beijing,Developing reusable launch vehicle technology for orbital payloads in China,Unknown,13.844999999999999,China,0,0,1,0,1,0,0,0,0,0,1,0,1
Gloyer-Taylor Labs,3,0,0.0,300,,,LEO,Rocket,United States,"Tullahoma, TN",Developing the Advanced Cryognic Expendable (ACE) launch vehicle,Unknown,13.844999999999999,United States,0,0,0,0,1,0,0,0,0,0,1,0,1
STAR Orbitals,2,150,0.0,0,,Small,LEO,Rocket,India,"Surat, Gujarat",Developing the Phoenix small launch vehicle,Unknown,13.844999999999999,India,0,0,1,0,1,0,0,0,0,0,1,0,1
Deywoss One,0,200,0.0,0,,Small,LEO,Spaceplane,United States,"Merepoint, ME","Developing PROTEUS, an innovative hybrid and autonomous launcher for small sats",Unknown,13.844999999999999,United States,0,0,1,0,1,0,0,0,0,0,0,1,1
Agnikul Cosmos,4,100,1.2,12000,14.58,Small,LEO,Rocket,India,"Chennai, Tamil Nadu","Designing, manufacturing, and launching orbital-class launch vehicles",Private (reported),14.58,India,0,0,1,0,1,0,0,0,0,0,1,0,0
Radian Aerospace*,4,2265,0.0,0,27.50,Medium,LEO,Spaceplane,United States,"Renton, WA",Developing the Radian One spaceplane to carry people and cargo to and from orbit,Private (reported),27.5,United States,0,1,0,0,1,0,0,0,0,0,0,1,0
One Space,6,200,3.2,16000,116,Small,LEO,Rocket,China,Beijing,Building a private 3-stage nanosatellite launch vehicle in China,Private (reported),116.0,China,0,0,1,0,1,0,0,0,0,0,1,0,0
