const,log_Payload (kg),log_Launch Cost ($M),log_Price ($/kg),log_Funding_num,Country_Grouped_France,Country_Grouped_India,Country_Grouped_Other,Country_Grouped_United Kingdom,Country_Grouped_United States,LC_Heavy,LC_Medium,LC_Small,LC_Tourism,OA_LEO,TT_Balloon,TT_Other,TT_Plane,TT_Spaceplane,Funding_Missing,SFR
1.0,4.61512051684126,0.0,0.0,1.7119945007591926,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0
1.0,9.90353755128617,0.0,0.0,2.697663108215723,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,2.697663108215723,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,6.68586094706836,0.0,0.0,2.697663108215723,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0
1.0,0.0,0.0,0.0,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0
1.0,6.2166061010848646,2.6100697927420065,10.134638955251866,1.766441661243765,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
1.0,5.5254529391317835,0.0,0.0,2.697663108215723,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
1.0,8.294299608857235,0.0,0.0,5.8924725979010315,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
1.0,6.68586094706836,0.0,0.0,2.697663108215723,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
1.0,0.0,0.0,0.0,2.697663108215723,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
1.0,4.394449154672439,0.0,0.0,0.6471032420585385,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
1.0,0.0,0.0,0.0,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
1.0,8.987321812850125,4.394449154672439,9.210440366976517,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0
1.0,8.412054873292933,0.0,0.0,3.8416005411316,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
1.0,7.0909098220799835,0.0,0.0,0.26236426446749106,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0
1.0,7.901377353792616,0.0,0.0,2.697663108215723,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0
1.0,5.303304908059076,0.0,0.0,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
1.0,0.0,0.0,0.0,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0
1.0,0.0,0.0,0.0,2.697663108215723,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,5.303304908059076,0.0,0.0,2.697663108215723,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
1.0,0.0,0.0,0.0,2.697663108215723,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
